Kota,Paslon 1,Paslon 2,Total,Laju Pertumbuhan,Laki,Perempuan,Umur,Umur Squared,APM SD,APM SMP,APM SMA,Literate,TPAK,pendidikan_SD,pendidikan_SMP,pendidikan_SMA,pendidikan_Universitas,TK,SD,SMP,SMA,SMK,Universitas,Pengeluaran Bulanan,Persentase Kemiskinan,Indeks Pembangunan Manusia,DPT,Sentiment,Weighted Sentiment,Partisipasi
Jepara,"594,646","114,725","709,371",1.4,"627,007","630,905",32.14430097,1033.256085,97.79,77.48,59.19,94.63,68.43,43.17162444,25.23527076,26.67926388,4.91384092,474,599,99,23,50,8,"843,062",6.66,71.88,"876,490",-0.240046667,-1.663089376,0.809331538
Demak,"544,970","161,237","706,207",0.86,"575,895","586,910",31.07199573,965.4689189,98.29,80.18,59.07,95.41,67.72,41.5154555,23.81762846,28.99207672,5.674839324,467,488,85,32,59,3,"1,033,771",11.86,71.87,"877,343",-0.240046667,-1.663089376,0.804938319
Semarang,"536,118","122,906","659,024",1.26,"517,597","536,189",33.74427825,1138.676315,98.03,77.74,55.25,93.79,74.69,38.58,23.46,30.53,7.43,409,498,101,26,44,14,"1,015,277",7.04,74.14,"778,993",-0.240046667,-1.663089376,0.845994765
Temanggung,"412,907","102,081","514,988",0.98,"386,782","385,236",34.4923,1189.718759,96.2,74.61,58.79,94.76,76.23,53.56228116,21.44573655,18.24546066,6.74652163,331,434,83,16,23,4,"739,467",9.42,69.56,"602,309",-0.240046667,-1.663089376,0.85502292
Kendal,"493,114","134,644","627,758",2.04,"492,113","478,973",33.81686347,1143.580255,94.56,73.88,61.16,93.93,67.91,42.28824561,19.76255364,28.77699268,9.172208073,486,578,110,34,50,11,"1,031,742",9.41,71.97,"778,630",-0.240046667,-1.663089376,0.806234026
Batang,"395,322","91,918","487,240",0.81,"383,697","384,886",32.63022406,1064.731522,95.85,78.82,53.44,94.886,68.75,62,20,14,4,296,454,74,15,30,1,"889,429",8.35,68.42,"606,290",-0.240046667,-1.663089376,0.803641822
Pekalongan,"447,155","111,641","558,796",0.65,"445,790","451,921",31.37770548,984.5604011,96.34,77.44,45.74,94.014,71.15,40.8,21.59,25.94,11.67,341,501,88,18,33,7,"877,521",9.71,69.71,"725,790",-0.240046667,-1.663089376,0.769914162
Pemalang,"592,411","193,375","785,786",0.65,"644,682","658,131",31.25734984,977.0219192,98.22,76.6,48.82,92.26,66.27,55.04460434,18.01993485,21.23691609,5.698544721,360,739,118,23,53,5,"883,354",15.41,66.32,"1,122,858",-0.240046667,-1.663089376,0.699808881
Tegal,"549,486","320,051","869,537",1.43,"715,887","724,811",31.1639403,971.1911749,98.69,77.46,53.8,94.13382489,66.5,52.38485159,19.88868987,21.23848516,6.487973388,357,681,116,26,65,11,"851,397",7.64,68.24,"1,206,180",-0.240046667,-1.663089376,0.720901524
Brebes,"739,374","318,345","1,057,719",0.26,"908,786","900,310",31.8875,1016.812656,98.79,83.49,49.52,91.14,66.08,62.77343622,16.47049677,16.11577527,4.640291746,476,894,165,33,95,11,"834,665",16.22,66.12,"1,528,649",-0.240046667,-1.663089376,0.691930587
Kota Magelang,"56,141","25,267","81,408",0.02,"60,107","62,004",35.44840465,1256.589392,97.91,81.49,70.07,98.18,64.95,21.22268379,13.52719286,45.58882045,19.6613029,60,74,20,13,20,5,"1,373,329",7.46,78.8,"91,331",-0.240046667,-1.663089376,0.891351239
Kota Surakarta,"301,627","65,171","366,798",0.328,"252,594","266,993",33.46594141,1119.969235,99.19,80.6,66.12,100,69.27,19.59025281,15.46175007,43.58166179,21.36633532,266,245,74,32,49,71,"1,583,571",8.7,81.86,"421,999",-0.240046667,-1.663089376,0.869191633
Kota Salatiga,"94,215","26,523","120,738",0.21,"94,887","99,197",33.34845222,1112.119265,99.22,74.42,61.96,98.61,66.96,22.68576457,16.22604615,38.97536175,22.11282753,87,80,29,8,20,15,"1,607,032",4.76,83.12,"135,149",-0.240046667,-1.663089376,0.89336954
Kota Semarang,"779,685","221,026","1,000,711",1.57,"889,298","924,812",31.80335977,1011.453693,99.59,91.18,69.22,98.24,66.87,17.58152102,13.4838903,41.92054756,27.01404112,691,509,194,74,89,94,"1,648,489",3.98,83.19,"1,176,074",-0.240046667,-1.663089376,0.850891185
Kota Pekalongan,"138,336","49,916","188,252",0.89,"153,518","153,579",25.16299555,633.1763451,99.52,71.85,54.81,98.42,72.46,36.27702142,22.66627629,31.46318255,9.593519738,87,103,29,8,13,6,"1,000,425",6.6,74.77,"225,859",-0.240046667,-1.663089376,0.833493463
Kota Tegal,"97,007","58,796","155,803",0.362,"123,701","126,204",31.55765191,995.8853939,99.57,73.91,62.32,97.822,69.61,34.47567551,17.120029,34.48171699,13.9225785,72,136,34,10,21,10,"1,217,313",7.47,74.93,"204,852",-0.240046667,-1.663089376,0.760563724
Pacitan,"116,009","230,623","346,632",0.51,"271,113","284,191",35.98656356,1295.032757,95.94,79.24,67.48,93.288,79.55,50.47900595,22.65735505,19.92891723,6.934721772,312,418,71,10,31,6,"795,832",13.66098569,68.16,"471,061",-0.213006667,-0.644555448,0.735853743
Ponorogo,"421,365","166,478","587,843",0.076374892,"435,618","435,752",37.00229358,1369.16973,99.46,85.67,67.43,91.844,71.09,45.7566642,21.73647365,23.3309297,9.175932457,455,583,91,27,42,13,"847,840",9.636549342,70.56,"752,336",-0.213006667,-0.644555448,0.781357
Trenggalek,"351,836","104,756","456,592",0.200459921,"346,008","350,287",34.77400056,1209.231115,96.83,77.78,70.15,95.256,73.24,51.47386709,21.01467111,19.74663385,7.764827952,391,442,84,16,37,4,"823,510",10.97810554,69.46,"581,749",-0.213006667,-0.644555448,0.784860825
Tulungagung,"540,169","120,057","660,226",0.71,"506,702","532,582",35.50840219,1260.846626,97.91,87.04,62.6,98.45,70.4,42.21014025,24.54989758,24.02326355,9.216698623,544,642,95,24,35,10,"896,574",6.7363685,72.62,"852,570",-0.213006667,-0.644555448,0.774395064
Blitar,"636,843","111,038","747,881",2.01,"581,481","579,196",36.69142398,1346.260594,96.84,87.86,59.24,94.83,72.85,47.56846944,22.46097754,22.27971961,7.6908334,802,666,106,22,32,2,"844,763",8.938748679,70.57,"943,840",-0.213006667,-0.644555448,0.792381124
Kediri,"814,945","173,277","988,222",0.79,"790,210","784,062",32.89036012,1081.775789,98.21,85.94,69.38,95.748,71.61,40.04439652,22.49807119,28.33752183,9.120010467,732,690,105,27,51,17,"814,338",10.41433755,71.85,"1,226,382",-0.213006667,-0.644555448,0.80580276
Malang,"1,167,760","382,318","1,550,078",1.23,"1,310,100","1,296,104",32.75640625,1072.982151,99.48,87.39,53.39,98.17,69.96,48.67834711,20.28943747,23.61832248,7.413892943,989,1.14,343,70,138,19,"987,853",9.462037507,70.35,"1,996,857",-0.213006667,-0.644555448,0.776258891
Lumajang,"386,336","265,990","652,326",0.25,"509,010","533,385",35.15365888,1235.779733,97.06,76.59,44.42,87.15,65.92,61.7255903,15.92433221,16.33403227,6.016045218,444,554,135,30,39,13,"751,678",9.485847495,65.33,"835,053",-0.213006667,-0.644555448,0.781179159
Jember,"891,241","484,795","1,376,036",0.407831479,"1,204,675","1,245,993",35.34295561,1249.124511,99.46,79.61,60.16,83.14,67.01,58.59539799,16.70902825,17.76219312,6.93338064,933,1.038,342,62,176,34,"799,627",9.245234361,66.69,"1,863,478",-0.213006667,-0.644555448,0.738423528
Banyuwangi,"710,891","273,523","984,414",0.268004078,"803,195","810,796",35.59791484,1267.211541,99.03,81.32,62.37,93.634,72.06,47.63973633,21.09129794,24.25650013,7.012465593,789,817,201,49,92,24,"971,405",7.51986845,70.6,"1,317,581",-0.213006667,-0.644555448,0.747137368
Bondowoso,"213,422","277,080","490,502",0.33,"377,776","397,939",34.23705485,1172.175925,98.81,83.85,48.94,80.26,75.81,65.85699472,12.79590787,15.1094269,6.237670505,387,507,110,29,57,9,"746,274",13.32061389,66.09,"599,017",-0.213006667,-0.644555448,0.818844874
Situbondo,"202,721","203,949","406,670",0.46,"333,198","349,780",33.69188308,1135.142985,93.62,83.24,58.2,87.168,72.2,57.36051871,10.7010647,23.27326392,8.665152675,266,431,93,17,45,11,"846,290",11.19216139,67.09,"493,169",-0.213006667,-0.644555448,0.824605764
Probolinggo,"427,432","278,120","705,552",1.06,"570,206","598,297",34.23360514,1171.939721,97.86,69.78,37.91,95.7,68.62,62.87588716,13.56107464,18.08961435,5.473423847,517,623,220,76,56,14,"715,121",17.73380128,65.6,"884,636",-0.213006667,-0.644555448,0.797561935
Pasuruan,"589,334","378,134","967,468",0.61,"806,272","821,124",31.37385117,984.3185375,98.83,81.34,46.17,94.522,68.64,47.06218876,17.87602899,29.12404067,5.937741582,670,718,156,41,65,17,"964,049",8.669678431,68.29,"1,179,108",-0.213006667,-0.644555448,0.820508384
Sidoarjo,"816,047","349,739","1,165,786",1.27,"1,130,269","1,119,207",30.09557915,905.7438843,99.62,89.38,70.84,99.256,66.82,14.61256171,16.52772682,48.87910318,19.98060829,748,583,181,70,85,25,"1,514,800",5.303012791,80.05,"1,397,570",-0.213006667,-0.644555448,0.834152135
Mojokerto,"531,163","165,048","696,211",2.28,"558,375","559,313",34.39762744,1183.196774,97.74,82.92,75.55,95.93,69.35,30.26898675,22.36417699,38.26494794,9.101888324,452,417,125,39,61,19,"1,151,054",9.73527496,73.53,"831,172",-0.213006667,-0.644555448,0.837625666
Jombang,"615,022","187,427","802,449",1.63,"628,799","635,015",32.11035603,1031.074965,97.15,88.64,73.57,95.7,70.87,32.41023284,24.53150378,34.51885831,8.539405063,491,534,128,46,69,22,"963,592",9.213381083,72.85,"1,001,817",-0.213006667,-0.644555448,0.800993595
Nganjuk,"540,441","131,952","672,393",0.49,"524,282","530,329",33.70656195,1136.132318,98.21,90.59,64,92.15,66.67,44.12154989,22.85533942,24.9022709,8.120839789,607,605,87,27,58,10,"943,614",11.23731878,71.71,"859,478",-0.213006667,-0.644555448,0.78232718
Madiun,"333,848","113,478","447,326",0.15,"336,972","345,712",35.42674583,1255.05432,96.57,88.7,74.59,97.99,70.35,42.73792609,19.81927355,27.37412225,10.06867811,329,406,48,13,30,3,"891,858",10.53342396,71.69,"572,059",-0.213006667,-0.644555448,0.781957805
Magetan,"286,038","136,383","422,421",0.91,"306,376","322,601",38.50462259,1482.60596,94.88,86.9,78.72,93.69,72.19,43.57899506,18.42343003,29.15801676,8.839558155,390,440,57,15,34,4,"970,000",9.607664509,73.49,"532,677",-0.213006667,-0.644555448,0.793015279
Ngawi,"424,010","118,764","542,774",0.61,"405,814","424,294",36.62713518,1341.547031,94.5,83.12,71.86,89.27,72.41,48.54505559,19.54113683,24.85149582,7.062311764,519,524,81,20,40,9,"785,453",14.38728455,70.41,"705,092",-0.213006667,-0.644555448,0.769791743
Bojonegoro,"560,593","273,457","834,050",0.221745138,"617,988","631,704",35.78389562,1280.487186,98.59,83.02,64.51,92.81,71.15,50.28986824,22.34718485,19.810995,7.55195191,669,723,109,49,61,16,"847,561",12.37424901,68.75,"1,040,385",-0.213006667,-0.644555448,0.80167438
Tuban,"532,824","195,783","728,607",1.02,"579,389","593,401",35.0076744,1225.537267,98.62,82.29,56.7,88.99,68.62,53.95550992,18.53608673,20.66922813,6.839175223,536,582,92,36,44,11,"906,635",14.5635621,68.37,"939,765",-0.213006667,-0.644555448,0.775307657
Lamongan,"515,778","282,348","798,126",-0.01,"577,871","611,235",35.30930548,1246.747053,97.5,84.73,63.61,93.206,68.89,37.55997051,21.78634527,28.53256385,12.12112037,1.005,638,156,70,81,18,"944,039",13.212447,72.57,"1,056,505",-0.213006667,-0.644555448,0.75543987
Gresik,"505,738","252,348","758,086",1.06672394,"650,973","661,908",31.80353741,1011.464992,98.68,82.16,79.14,97,65.65,26.22571244,18.2680113,42.76433427,12.74194199,611,453,114,52,60,27,"1,263,950",11.31938081,76.1,"927,045",-0.213006667,-0.644555448,0.817744554
Bangkalan,"435,872","317,828","753,700",0.04,"471,272","515,400",31.75953103,1008.667811,96,73.46,39.92,82.6,63.11,68.33588379,10.28422151,14.71113644,6.668758257,514,707,241,69,65,14,"729,813",18.86239804,63.79,"866,058",-0.213006667,-0.644555448,0.87026504
Sampang,"192,350","562,610","754,960",1.069157064,"477,214","501,661",30.31748895,919.1501365,96.02,69.11,41.35,95.7,66.42,70.93465729,12.71385254,11.20828106,5.143209116,318,617,283,80,82,9,"646,386",20.65738731,61.94,"820,941",-0.213006667,-0.644555448,0.919627598
Pamekasan,"102,652","529,770","632,422",0.974759523,"427,801","452,191",31.72605887,1006.542812,97.53,75.27,60.06,88.594,68.13,56.95053104,12.99709562,18.95085757,11.10151578,339,473,183,77,97,17,"706,967",13.91262648,65.94,"706,619",-0.213006667,-0.644555448,0.894997163
Sumenep,"242,835","436,379","679,214",0.17,"517,987","570,923",35.40929829,1253.818405,98.85,84.84,65.1,80.544,75.04,63.03365687,14.77797049,15.09103315,7.097339493,509,659,195,84,67,15,"1,014,903",19.4671736,66.22,"872,764",-0.213006667,-0.644555448,0.778233291
Kota Kediri,"143,521","38,904","182,425",0.74,"143,320","144,089",32.93060064,1084.424459,97.18,85.13,79.5,97.59,64.6,18.80378774,16.6435104,40.60080395,23.95189791,122,137,33,20,23,26,"1,126,661",7.146609883,78.08,"201,850",-0.213006667,-0.644555448,0.903765172
Kota Blitar,"73,310","21,019","94,329",1.76,"70,378","71,498",33.53746254,1124.761393,96.76,84.52,83.22,98.324,72.06,21.15720713,16.75942338,42.43092827,19.65244122,81,62,20,10,17,7,"1,268,639",7.118892554,78.56,"113,544",-0.213006667,-0.644555448,0.83077045
Kota Malang,"345,127","167,834","512,961",1.23,"429,416","441,266",31.08825381,966.4795247,96.87,85.3,64.99,98.17,65.89,22.27189067,12.47280061,39.42298596,25.83232276,355,282,107,48,56,71,"1,608,906",4.064629796,81.32,"623,185",-0.213006667,-0.644555448,0.823127964
Kota Probolinggo,"84,989","60,556","145,545",1.06,"116,817","120,391",32.2055875,1037.199866,97.46,87.65,72.71,95.7,63.85,29.44876127,13.42990153,40.2837471,16.83759011,110,86,29,12,20,2,"1,253,772",6.90111632,73.27,"167,834",-0.213006667,-0.644555448,0.867196158
Kota Pasuruan,"71,354","54,028","125,382",0.59,"99,403","101,019",31.37385117,984.3185375,96.82,78.22,62.75,96.6,67.91,28.48234439,13.82990933,38.62619075,19.06155553,105,67,29,11,14,7,"1,106,833",6.4463981,75.25,"147,500",-0.213006667,-0.644555448,0.850047458
Kota Mojokerto,"60,722","24,765","85,487",0.75,"63,484","65,530",32.94161099,1085.149734,97.88,87.37,80.21,95.7,64.88,16.6223163,14.95766556,47.10311461,21.31690354,64,62,19,11,11,5,"1,308,790",5.138977165,77.96,"98,174",-0.213006667,-0.644555448,0.870770265
Kota Madiun,"85,012","34,032","119,044",0.15,"85,610","91,397",35.42674583,1255.05432,95.71,85.81,81.3,96.79,66.73,13.71150967,11.87925998,47.89919486,26.51003549,93,73,23,12,29,21,"1,443,211",4.344460954,80.88,"147,541",-0.213006667,-0.644555448,0.806853688
Kota Surabaya,"1,118,411","479,904","1,598,315",2.07,"1,430,988","1,465,207",31.9210029,1018.950426,98.88,84.58,65.75,98.748,68.61,18.64337306,14.1147241,42.16468603,25.07721681,1.311,654,324,140,106,131,"2,027,599",4.50763847,82.22,"2,131,756",-0.213006667,-0.644555448,0.749764513
Kota Batu,"101,321","35,434","136,755",2.64,"104,414","103,076",33.51454046,1123.224422,95.99,84.5,73.89,97.62281817,71.01,31.64987783,17.52068241,34.89905268,15.93038707,73,79,27,12,13,8,"1,250,019",3.802592896,75.88,"154,826",-0.213006667,-0.644555448,0.883281878